ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
75,0,2,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,62.0,174.0,141.0,0.66,73.0,407.0,404.0,383.0,41.0,111.0,4.0,2887.0,10.0,0.21,94.0,68.0,0.0,5.0,2.0,0.22,0.0,0.0,4,4.0,949.0,189.8,0,1
76,3,2,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,11.0,11.0,24.0,0.63,12.0,63.0,76.0,89.0,17.0,22.0,1.0,432.0,4.0,0.19,15.0,20.0,0.0,15.0,4.0,0.27,0.0,0.0,2,2.0,115.0,115.0,1,1
77,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,0.75,4.0,7.0,11.0,4.0,2.0,3.0,0.0,69.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
78,3,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,11.0,23.0,0.53,8.0,34.0,33.0,30.0,5.0,6.0,2.0,281.0,2.0,0.0,6.0,11.0,0.0,27.0,9.0,0.33,1.0,0.0,4,4.0,93.33333333333333,93.33333333333333,1,1
79,0,3,0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,8.0,12.0,33.0,38.0,0.55,25.0,60.0,121.0,69.0,65.0,23.0,1.0,722.0,5.0,0.23,31.0,25.0,1.0,5.0,2.0,0.22,0.0,0.0,3,3.0,241.0,361.5,1,1
80,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
81,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,11.0,4.0,1.0,3.0,17.0,13.0,18.0,3.0,6.0,1.0,86.0,1.0,0.67,4.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,2,2.0,94.0,94.0,1,1
82,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
83,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
84,0,3,1,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,9.0,14.0,51.0,38.0,0.53,44.0,136.0,145.0,72.0,73.0,35.0,1.0,1468.0,5.0,0.25,69.0,12.0,1.0,5.0,2.0,0.22,0.0,0.0,2,2.0,506.5,506.5,1,1
85,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
86,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,11.0,29.0,0.59,11.0,57.0,58.0,70.0,12.0,11.0,2.0,394.0,5.0,0.1,23.0,14.0,0.0,9.0,4.0,0.44,1.0,0.0,2,2.0,165.0,55.0,0,1
87,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,2.0,0.5,0.0,2.0,4.0,8.0,0.0,0.0,0.0,13.0,0.0,0.17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,9.0,0,0
88,2,3,0,2.71,0.0,0.0,3.0,42.0,1.0,0.0,0.0,10.0,18.0,63.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,1.0,1446.0,0.0,0.0,321.0,2.0,0.0,5.0,2.0,0.22,0.0,115.0,1,1.0,1395.0,697.5,0,1
89,2,3,0,2.71,0.0,0.0,3.0,42.0,1.0,0.0,0.0,10.0,18.0,63.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,1.0,1446.0,0.0,0.0,321.0,2.0,0.0,5.0,2.0,0.22,0.0,115.0,1,1.0,1395.0,697.5,0,1
90,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
91,0,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,0.71,5.0,24.0,24.0,18.0,4.0,6.0,1.0,156.0,2.0,0.18,8.0,4.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,401.0,200.5,0,1
92,0,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,0.71,5.0,24.0,24.0,18.0,4.0,6.0,1.0,156.0,2.0,0.18,8.0,4.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,401.0,200.5,0,1
93,0,3,0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,3.0,12.0,16.0,0.56,3.0,42.0,38.0,29.0,2.0,9.0,0.0,252.0,0.0,0.0,9.0,10.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,713.0,713.0,0,0
94,3,3,0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,10.0,19.0,11.0,63.0,0.6,36.0,189.0,133.0,100.0,34.0,27.0,3.0,1306.0,5.0,0.34,60.0,27.0,0.0,21.0,7.0,0.33,2.0,0.0,4,4.0,688.0,344.0,1,1
95,3,3,3,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,9.0,15.0,11.0,54.0,0.59,23.0,123.0,96.0,148.0,6.0,11.0,3.0,972.0,9.0,0.38,82.0,28.0,0.0,14.0,7.0,0.5,0.0,0.0,6,6.0,226.25,226.25,1,1
96,3,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,16.0,11.0,17.0,0.53,7.0,34.0,33.0,30.0,5.0,6.0,1.0,358.0,3.0,0.0,6.0,9.0,1.0,43.0,22.0,0.51,12.0,0.0,4,4.0,102.0,204.0,1,1
97,3,3,7,0.0,0.0,0.0,3.0,0.0,1.0,0.0,9.0,8.0,9.0,11.0,15.0,0.67,7.0,93.0,106.0,160.0,23.0,45.0,6.0,650.0,6.0,0.32,17.0,22.0,0.0,53.0,20.0,0.38,9.0,0.0,15,15.0,128.6,183.71428571428572,2,2
98,3,3,1,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,8.0,17.0,11.0,81.0,0.62,54.0,216.0,159.0,159.0,41.0,47.0,1.0,1441.0,6.0,0.27,60.0,41.0,2.0,35.0,7.0,0.2,3.0,0.0,3,3.0,463.3333333333333,695.0,1,1
99,3,3,0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,14.0,11.0,37.0,0.65,23.0,73.0,89.0,86.0,10.0,23.0,2.0,375.0,2.0,0.31,14.0,24.0,0.0,22.0,9.0,0.41,2.0,0.0,3,3.0,352.5,235.0,1,1
100,0,3,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,10.0,14.0,46.0,35.0,0.66,43.0,131.0,165.0,73.0,114.0,51.0,0.0,1398.0,1.0,0.0,71.0,4.0,2.0,5.0,2.0,0.22,0.0,0.0,2,2.0,510.0,1530.0,1,0
101,3,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,11.0,3.0,0.33,1.0,23.0,28.0,44.0,17.0,14.0,1.0,88.0,2.0,0.4,0.0,10.0,0.0,8.0,4.0,0.5,2.0,0.0,3,3.0,85.0,127.5,1,1
102,2,3,0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,66.0,0.0,0.0,16.0,0.0,0.0,5.0,2.0,0.22,0.0,6.0,0,0.0,135.0,135.0,0,0
103,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,11.0,15.0,0.53,10.0,34.0,33.0,30.0,5.0,6.0,2.0,388.0,3.0,0.0,6.0,24.0,0.0,51.0,22.0,0.43,11.0,0.0,6,6.0,0.0,0.0,1,1
104,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
105,1,3,3,0.0,0.0,0.0,6.0,0.0,2.0,0.0,12.0,8.0,17.0,11.0,28.0,0.57,9.0,99.0,137.0,141.0,38.0,49.0,3.0,440.0,7.0,0.24,12.0,38.0,0.0,67.0,26.0,0.39,12.0,0.0,15,15.0,105.23076923076923,342.0,3,1
106,1,3,2,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,8.0,19.0,11.0,10.0,0.53,2.0,34.0,33.0,30.0,5.0,6.0,3.0,398.0,5.0,0.0,6.0,20.0,1.0,42.0,20.0,0.48,7.0,0.0,9,9.0,97.42857142857143,170.5,2,1
107,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,3.0,0.0,1.0,7.0,9.0,14.0,1.0,2.0,0.0,32.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.33,0.0,0.0,0,0.0,37.0,37.0,0,0
108,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
109,3,3,1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,13.0,11.0,28.0,0.53,5.0,34.0,33.0,30.0,5.0,6.0,0.0,368.0,1.0,0.0,6.0,13.0,0.0,9.0,2.0,0.22,0.0,0.0,1,1.0,255.5,511.0,1,0
110,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
111,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,7.0,0,0
112,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
113,3,4,4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,12.0,11.0,45.0,0.53,19.0,34.0,33.0,30.0,5.0,6.0,1.0,747.0,6.0,0.0,6.0,29.0,1.0,52.0,22.0,0.42,4.0,0.0,7,7.0,162.71428571428572,569.5,2,1
114,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
115,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
116,3,4,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,9.0,11.0,42.0,0.52,8.0,66.0,107.0,139.0,6.0,16.0,1.0,469.0,3.0,0.17,5.0,34.0,0.0,21.0,9.0,0.43,2.0,0.0,4,4.0,92.25,184.5,1,1
117,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
118,3,4,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,11.0,9.0,0.44,1.0,26.0,13.0,25.0,0.0,5.0,1.0,325.0,2.0,0.33,10.0,6.0,0.0,6.0,1.0,0.17,0.0,0.0,1,1.0,449.0,224.5,0,1
119,3,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,11.0,6.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,2.0,167.0,4.0,0.0,6.0,6.0,0.0,28.0,8.0,0.29,2.0,0.0,2,2.0,68.0,22.666666666666668,0,1
120,0,4,1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,8.0,7.0,26.0,26.0,0.5,21.0,90.0,64.0,67.0,12.0,14.0,3.0,820.0,4.0,0.23,13.0,22.0,0.0,5.0,2.0,0.22,0.0,0.0,5,5.0,165.0,123.75,1,1
121,1,4,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,11.0,9.0,11.0,14.0,0.53,2.0,34.0,33.0,30.0,5.0,6.0,0.0,300.0,1.0,0.0,6.0,24.0,0.0,33.0,20.0,0.61,4.0,0.0,6,6.0,130.42857142857142,913.0,2,0
122,3,4,0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,11.0,10.0,11.0,26.0,0.62,11.0,132.0,75.0,88.0,11.0,21.0,1.0,2065.0,3.0,0.32,64.0,22.0,0.0,25.0,5.0,0.2,0.0,0.0,1,1.0,1095.0,547.5,0,1
123,3,4,3,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,11.0,13.0,11.0,70.0,0.66,22.0,144.0,127.0,121.0,14.0,17.0,10.0,2927.0,11.0,0.37,98.0,23.0,0.0,55.0,20.0,0.36,9.0,0.0,14,14.0,274.2,124.63636363636364,1,2
124,3,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,11.0,8.0,0.38,3.0,22.0,25.0,44.0,3.0,5.0,1.0,499.0,2.0,0.29,3.0,8.0,0.0,11.0,2.0,0.18,0.0,0.0,1,1.0,479.0,239.5,0,1
125,0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,20.0,21.0,0.67,6.0,32.0,49.0,38.0,4.0,9.0,3.0,371.0,1.0,0.29,7.0,11.0,0.0,5.0,2.0,0.22,0.0,0.0,3,3.0,171.0,42.75,0,1
126,0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,20.0,21.0,0.67,6.0,32.0,49.0,38.0,4.0,9.0,3.0,371.0,1.0,0.29,7.0,11.0,0.0,5.0,2.0,0.22,0.0,0.0,3,3.0,171.0,42.75,0,1
127,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
128,3,4,3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,7.0,6.0,11.0,13.0,0.53,5.0,34.0,33.0,30.0,5.0,6.0,4.0,597.0,6.0,0.0,6.0,14.0,1.0,34.0,15.0,0.44,6.0,0.0,7,7.0,330.0,264.0,1,1
129,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.0,19.0,0.53,2.0,40.0,33.0,33.0,3.0,5.0,0.0,289.0,2.0,0.0,3.0,8.0,0.0,11.0,3.0,0.27,1.0,0.0,0,0.0,26.0,26.0,0,0
130,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.0,19.0,0.53,2.0,40.0,33.0,33.0,3.0,5.0,0.0,289.0,2.0,0.0,3.0,8.0,0.0,11.0,3.0,0.27,1.0,0.0,0,0.0,26.0,26.0,0,0
131,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
132,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
133,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
134,0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,38.0,47.0,0.55,30.0,130.0,135.0,71.0,66.0,34.0,0.0,2399.0,0.0,0.25,88.0,14.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,1018.0,1018.0,0,0
135,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,10.0,32.0,54.0,0.76,18.0,76.0,125.0,69.0,29.0,21.0,1.0,810.0,1.0,0.0,30.0,17.0,0.0,5.0,2.0,0.22,0.0,0.0,2,2.0,454.0,454.0,1,1
136,2,4,0,2.89,0.0,0.0,0.0,26.0,1.0,0.0,0.0,7.0,6.0,28.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,743.0,0.0,0.0,91.0,1.0,0.0,5.0,2.0,0.22,0.0,65.0,0,0.0,810.0,810.0,0,0
137,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
138,3,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,11.0,14.0,0.36,14.0,33.0,24.0,33.0,7.0,8.0,0.0,435.0,1.0,0.2,5.0,11.0,2.0,14.0,8.0,0.57,3.0,0.0,3,3.0,109.0,436.0,1,0
139,3,4,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,12.0,11.0,40.0,0.5,18.0,95.0,102.0,90.0,25.0,10.0,0.0,773.0,1.0,0.0,18.0,40.0,0.0,21.0,5.0,0.24,0.0,0.0,0,0.0,519.0,519.0,0,0
140,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,19.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,12.0,12.0,0,0
141,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
142,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
143,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
144,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
145,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
146,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
147,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
148,0,5,0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,10.0,23.0,35.0,0.57,16.0,57.0,73.0,50.0,29.0,26.0,1.0,855.0,1.0,0.0,47.0,11.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,1128.0,564.0,0,1
149,3,5,3,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,5.0,21.0,11.0,61.0,0.57,34.0,124.0,126.0,101.0,36.0,33.0,2.0,1028.0,0.0,0.23,44.0,38.0,0.0,28.0,11.0,0.39,1.0,0.0,6,6.0,263.8,439.6666666666667,1,1
150,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
151,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
152,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
153,3,5,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,15.0,11.0,42.0,0.69,15.0,141.0,113.0,82.0,21.0,24.0,3.0,1341.0,3.0,0.38,35.0,24.0,0.0,16.0,5.0,0.31,0.0,0.0,5,5.0,281.3333333333333,211.0,1,1
