ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
133,Deniz Undav,FWD,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
134,Jan Paul van Hecke,DEF,Brighton,0,0,0,0,0,0,1018,2,0,0,9,9,38,47,55%,30,130,135,71,66,34,0,"2,399",0,25%,88,14,0,,,,,
135,Joël Veltman,DEF,Brighton,0,0,0,0,0,0,908,1,0,1,9,10,32,54,76%,18,76,125,69,29,21,1,810,1,0%,30,17,0,,,,,
136,Bart Verbruggen,GKP,Brighton,0,2.89,0,0,0,26,810,1,0,0,7,6,28,,,,,,,,,0,743,,,91,1,,,,,,65
137,Andi Zeqiri,FWD,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
138,Jack Hinshelwood,MID,Brighton,1,0,0,0,0,0,436,1,0,3,4,4,,14,36%,14,33,24,33,7,8,0,435,1,20%,5,11,2,14,8,57%,3,
139,Carlos Baleba,MID,Brighton,0,0,0,0,0,0,519,3,0,0,7,12,,40,50%,18,95,102,90,25,10,0,773,1,0%,18,40,0,21,5,24%,0,
140,Benicio Baker-Boaitey,MID,Brighton,0,0,0,0,0,0,12,0,0,0,1,2,,0,,0,,,,,,0,19,0,,,2,0,1,0,0%,0,
141,Ben Jackson,DEF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
142,Joshua Duffus,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
143,Joshua Duffus,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
144,Leigh Kavanagh,DEF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
145,Luca Barrington,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
146,Enock Agyei,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
147,Samuel Bastien,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
148,Jordan Beyer,DEF,Burnley,0,0,0,0,2,0,1128,6,0,0,3,10,23,35,57%,16,57,73,50,29,26,1,855,1,0%,47,11,0,,,,,
149,Josh Brownhill,MID,Burnley,3,0,0,0,2,0,1319,2,0,4,5,21,,61,57%,34,124,126,101,36,33,2,"1,028",0,23%,44,38,0,28,11,39%,1,
150,Darko Churlinov,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
151,Darko Churlinov,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
152,Dara Costelloe,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
153,Josh Cullen,MID,Burnley,0,0,0,0,0,0,844,5,0,2,3,15,,42,69%,15,141,113,82,21,24,3,"1,341",3,38%,35,24,0,16,5,31%,0,
154,CJ Egan-Riley,DEF,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
155,Hjalmar Ekdal,DEF,Burnley,0,0,0,0,0,0,105,1,0,0,1,3,8,4,50%,6,26,12,21,4,9,0,217,0,0%,6,8,0,,,,,
156,Lyle Foster,FWD,Burnley,3,0,0,0,2,0,718,0,1,5,4,13,,19,,3,,,,,,3,452,1,,,24,0,34,17,50%,6,
157,Denis Franchi,GKP,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
158,Luke McNally,DEF,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
159,Arijanet Muric,GKP,Burnley,0,0,0,0,0,0,0,0,0,0,2,4,16,,,,,,,,,0,526,,,106,0,,,,,,64
160,Dara O'Shea,DEF,Burnley,0,0,0,1,2,0,1207,2,0,3,4,22,71,39,51%,35,140,182,120,127,68,4,"1,732",3,27%,110,36,3,,,,,
161,Dara O'Shea,DEF,Burnley,0,0,0,1,2,0,1207,2,0,3,4,22,71,39,51%,35,140,182,120,127,68,4,"1,732",3,27%,110,36,3,,,,,
162,Michael Obafemi,FWD,Burnley,0,0,0,0,0,0,19,0,0,0,1,1,,0,,0,,,,,,0,5,0,,,0,0,2,0,0%,0,
163,Bobby Thomas,DEF,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
164,Scott Twine,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
165,Lawrence Vigouroux,GKP,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
166,Wout Weghorst,FWD,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
167,Anass Zaroury,MID,Burnley,0,0,0,0,0,0,135,0,1,0,0,5,,1,,0,,,,,,0,59,0,,,4,0,3,1,33%,0,
168,Sander Berge,MID,Burnley,1,0,0,0,2,0,1327,3,0,1,5,24,,76,61%,23,202,179,150,65,49,2,"1,547",5,8%,83,40,0,25,3,12%,2,
169,Zeki Amdouni,FWD,Burnley,2,0,0,0,4,0,1228,1,0,5,5,23,,27,,9,,,,,,1,488,2,,,22,0,49,22,45%,6,
170,James Trafford,GKP,Burnley,0,3.83,0,0,2,69,1620,1,0,0,3,20,62,,,,,,,,,0,"1,368",,,182,0,,,,,,106
171,Luca Koleosho,MID,Burnley,1,0,0,0,3,0,972,0,0,1,2,12,,7,,2,,,,,,1,246,2,,,18,0,23,5,22%,3,
172,Jacob Bruun Larsen,MID,Burnley,2,0,0,0,1,0,441,0,0,6,5,20,,9,,7,,,,,,0,457,1,,,13,0,44,16,36%,4,
173,Owen Dodgson,DEF,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
174,Wilson Odobert,MID,Burnley,3,0,0,0,1,0,403,2,0,3,3,18,,17,,6,,,,,,2,545,7,,,9,0,49,14,29%,2,
175,Hannes Delcroix,DEF,Burnley,0,0,0,0,0,0,309,1,0,0,2,8,25,10,60%,9,29,21,21,8,10,0,318,0,40%,12,6,0,,,,,
176,Han-Noah Massengo,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,2,0,1,100%,0,1,1,1,0,1,0,9,0,0%,0,0,0,,,,,
177,Han-Noah Massengo,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,2,0,1,100%,0,1,1,1,0,1,0,9,0,0%,0,0,0,,,,,
178,Mike Trésor,MID,Burnley,0,0,0,0,0,0,314,0,0,0,2,10,,10,,1,,,,,,0,146,1,,,0,0,5,0,0%,1,
179,Robert Sánchez,GKP,Chelsea,0,3.33,1,0,3,53,1433,2,0,0,5,7,25,,,,,,,,,0,520,,,85,0,,,,,,53
180,Ethan Ampadu,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
181,Pierre-Emerick Aubameyang,FWD,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
182,César Azpilicueta,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
183,Benoît Badiashile,DEF,Chelsea,0,0,0,0,1,0,370,1,0,0,9,6,31,21,71%,18,82,55,48,28,22,1,"1,165",2,0%,36,17,0,,,,,
184,Armando Broja,FWD,Chelsea,1,0,0,0,1,0,303,0,0,1,10,8,,3,,0,,,,,,1,119,1,,,9,0,13,2,15%,2,
185,Trevoh Chalobah,DEF,Chelsea,0,0,0,0,0,0,0,0,0,1,8,1,14,16,75%,8,46,39,34,19,23,0,760,0,0%,24,3,1,,,,,
186,Carney Chukwuemeka,MID,Chelsea,1,0,0,0,0,0,125,2,0,1,4,3,,6,67%,0,11,11,22,1,3,1,133,0,0%,1,3,0,3,2,67%,0,
187,Levi Colwill,DEF,Chelsea,1,0,0,0,4,0,1360,2,0,1,10,8,26,48,63%,26,96,114,61,44,20,1,"1,053",3,0%,43,25,1,,,,,
188,Enzo Fernández,MID,Chelsea,2,0,0,0,4,0,1253,4,0,3,11,9,,50,44%,17,122,125,135,21,23,2,"1,795",5,20%,129,33,1,47,16,34%,6,
189,David Datro Fofana,FWD,Chelsea,0,0,0,0,0,0,0,0,0,4,2,8,,10,,1,,,,,,1,168,3,,,17,1,19,10,53%,5,
190,Conor Gallagher,MID,Chelsea,0,0,0,0,4,0,1417,3,1,5,18,10,,85,61%,43,221,212,210,25,28,7,"1,930",11,28%,54,83,0,48,18,38%,5,
191,Malo Gusto,DEF,Chelsea,0,0,0,0,2,0,618,2,1,0,14,6,27,55,49%,17,126,110,89,8,19,6,"1,218",8,27%,30,22,0,,,,,
192,Reece James,DEF,Chelsea,0,0,0,0,0,0,386,0,1,0,3,4,11,14,64%,3,28,36,21,8,5,2,267,7,25%,14,4,0,,,,,
193,Noni Madueke,MID,Chelsea,0,0,0,0,0,0,129,0,0,5,12,7,,16,,4,,,,,,2,454,2,,,8,1,32,13,41%,0,
194,Noni Madueke,MID,Chelsea,0,0,0,0,0,0,129,0,0,5,12,7,,16,,4,,,,,,2,454,2,,,8,1,32,13,41%,0,
195,Mykhailo Mudryk,MID,Chelsea,2,0,0,0,4,0,730,3,0,5,13,10,,21,57%,9,50,94,110,7,14,2,477,6,19%,14,22,0,35,12,34%,4,
196,Christopher Nkunku,FWD,Chelsea,1,0,0,0,0,0,32,0,0,3,7,3,,5,,2,,,,,,0,177,0,,,8,1,16,9,56%,3,
197,Christian Pulisic,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
198,Malang Sarr,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
199,Raheem Sterling,MID,Chelsea,5,0,0,0,3,0,1419,5,0,8,13,11,,21,,13,,,,,,4,658,7,,,34,0,51,22,43%,11,
200,Hakim Ziyech,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
201,Cole Palmer,MID,Chelsea,6,0,0,0,2,0,1060,5,0,22,17,9,,23,52%,20,105,102,128,1,4,11,"1,307",17,20%,69,24,2,109,46,42%,7,
202,Ian Maatsen,MID,Chelsea,0,0,0,0,0,0,143,1,0,0,6,4,5,3,67%,3,11,7,25,3,5,0,119,0,25%,2,5,0,,,,,
203,Axel Disasi,DEF,Chelsea,1,0,0,0,4,0,1416,2,0,2,13,10,50,33,58%,18,150,134,71,73,33,0,"2,198",0,10%,45,17,1,,,,,
204,Lesley Ugochukwu,MID,Chelsea,0,0,0,0,1,0,269,2,0,0,5,4,,14,71%,1,12,28,15,9,2,0,183,0,0%,5,4,0,0,0,0%,0,
205,Lucas Bergström,GKP,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
206,Roméo Lavia,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,1,0,,1,0%,0,0,2,1,0,0,0,27,0,0%,0,1,0,0,0,0%,0,
207,Bashir Humphreys,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
208,Eddie Beach,GKP,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
209,Djordje Petrovic,GKP,Chelsea,0,2.42,0,0,1,5,186,0,0,0,13,5,38,,,,,,,,,0,707,,,93,0,,,,,,75
210,Alfie Gilchrist,DEF,Chelsea,0,0,0,0,0,0,0,0,0,1,8,2,6,4,0%,3,9,7,13,2,4,0,123,0,0%,1,4,0,,,,,
211,Ronnie Stutter,FWD,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
212,Alex Matos,MID,Chelsea,0,0,0,0,0,0,1,0,0,0,1,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
213,Josh Brooking,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
214,Leo Castledine,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
215,Naouirou Ahamada,MID,Crystal Palace,0,0,0,0,0,0,123,1,0,0,4,11,,13,69%,2,30,29,37,4,3,0,179,0,0%,8,9,0,9,2,22%,0,
216,Joachim Andersen,DEF,Crystal Palace,2,0,0,0,5,0,1620,4,0,2,13,15,58,56,63%,40,193,181,107,90,47,3,"2,151",4,32%,202,43,0,,,,,
217,Jordan Ayew,MID,Crystal Palace,2,0,0,0,6,0,1378,4,1,4,12,14,,65,,16,,,,,,7,811,7,,,46,1,48,20,42%,4,
218,Nathaniel Clyne,DEF,Crystal Palace,0,0,0,0,1,0,461,0,0,0,8,6,16,24,63%,10,50,48,27,13,8,0,533,0,22%,26,6,0,,,,,
219,Cheick Doucouré,MID,Crystal Palace,0,0,0,0,3,0,920,2,0,0,4,5,,34,50%,20,74,50,42,5,9,0,421,1,0%,8,10,0,6,2,33%,0,
220,Malcolm Ebiowei,MID,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
221,Eberechi Eze,MID,Crystal Palace,2,0,0,0,3,0,818,2,0,11,12,9,,35,49%,11,136,164,176,12,24,4,790,7,33%,27,27,0,83,34,41%,4,
222,Vicente Guaita,GKP,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
223,Marc Guéhi,DEF,Crystal Palace,0,0,0,0,5,0,1530,1,0,0,9,10,32,28,68%,18,120,90,59,29,29,1,"1,299",1,0%,85,14,0,,,,,
224,Jean-Philippe Mateta,FWD,Crystal Palace,2,0,0,0,2,0,623,2,0,16,11,14,,22,,4,,,,,,5,413,5,,,35,1,46,29,63%,7,
225,Remi Matthews,GKP,Crystal Palace,0,0,0,0,0,0,3,0,0,0,0,1,1,,,,,,,,,0,5,,,0,0,,,,,,0
226,Remi Matthews,GKP,Crystal Palace,0,0,0,0,0,0,3,0,0,0,0,1,1,,,,,,,,,0,5,,,0,0,,,,,,0
227,Tyrick Mitchell,DEF,Crystal Palace,1,0,0,0,5,0,1447,3,0,2,13,14,55,105,57%,25,208,160,108,21,26,3,"1,205",5,25%,35,22,0,,,,,
228,Jake O'Brien,DEF,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
229,Michael Olise,MID,Crystal Palace,2,0,0,0,0,0,495,0,0,10,8,7,,19,53%,11,68,109,110,7,15,6,609,9,26%,25,13,1,57,21,37%,3,
230,Luke Plange,FWD,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
231,Jairo Riedewald,MID,Crystal Palace,0,0,0,0,1,0,174,0,0,0,6,0,,9,33%,2,14,15,11,3,2,0,108,0,0%,4,3,0,1,0,0%,0,
232,Joe Whitworth,GKP,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
233,Dean Henderson,GKP,Crystal Palace,0,6,0,0,0,12,180,1,0,0,8,6,30,,,,,,,,,0,430,,,65,0,,,,,,58
234,Jesurun Rak-Sakyi,MID,Crystal Palace,0,0,0,0,1,0,132,0,0,0,0,4,,4,25%,3,6,15,11,3,1,0,47,0,0%,1,1,0,5,1,20%,0,
235,John-Kymani Gordon,FWD,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
236,Ademola Ola-Adebomi,FWD,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
237,David Ozoh,MID,Crystal Palace,0,0,0,0,0,0,91,1,0,0,2,4,,10,60%,0,8,14,14,3,5,0,51,0,0%,0,2,0,0,0,0%,0,
238,Jadan Raymond,MID,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
239,Tayo Adaramola,DEF,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
240,Jarrad Branthwaite,DEF,Everton,0,0,0,0,5,0,1350,5,0,3,12,14,44,66,48%,50,181,184,88,95,45,0,"1,371",1,100%,73,25,1,,,,,
241,Dele Alli,MID,Everton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
242,James Garner,MID,Everton,1,0,0,0,5,0,1426,3,0,1,12,16,,83,53%,45,172,169,134,25,24,2,"1,111",7,22%,46,39,0,41,11,27%,1,
243,Jean-Philippe Gbamin,MID,Everton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
244,Jean-Philippe Gbamin,MID,Everton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
245,Ben Godfrey,DEF,Everton,0,0,0,0,1,0,91,0,0,0,3,5,13,30,67%,16,45,66,60,26,25,0,342,0,19%,10,8,0,,,,,
246,Idrissa Gueye,MID,Everton,1,0,0,0,2,0,1013,6,0,4,9,9,,73,60%,28,174,128,91,15,9,0,880,1,9%,22,35,0,26,7,27%,0,
247,Dwight McNeil,MID,Everton,2,0,0,0,6,0,1202,0,0,3,13,13,,44,,22,,,,,,6,"1,001",17,,,18,0,57,15,26%,3,
248,Vitalii Mykolenko,DEF,Everton,2,0,0,0,5,0,1167,1,0,2,10,11,37,69,55%,36,142,126,97,30,27,0,882,2,23%,54,23,1,,,,,
249,Amadou Onana,MID,Everton,1,0,0,0,3,0,1133,2,0,2,9,15,,71,54%,21,160,180,93,53,19,0,"1,023",4,33%,61,37,2,29,6,21%,1,
250,Ellis Simms,FWD,Everton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
251,James Tarkowski,DEF,Everton,1,0,0,0,6,0,1620,2,0,1,13,16,51,61,69%,56,186,242,147,145,62,1,"1,525",5,50%,159,45,1,,,,,
252,Andy Lonergan,GKP,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
253,Lewis Dobbin,MID,Everton,1,0,0,0,1,0,167,0,0,1,3,7,,9,,1,,,,,,0,54,1,,,3,0,5,2,40%,1,
254,Thomas Cannon,FWD,Everton,0,0,0,0,0,0,1,0,0,0,0,1,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
255,Tyler Onyango,MID,Everton,0,0,0,0,0,0,1,0,0,0,0,1,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
256,Mackenzie Hunt,MID,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
257,Jenson Metcalfe,MID,Everton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
258,Elijah Campbell,DEF,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
259,Issa Diop,DEF,Fulham,0,0,0,0,3,0,790,2,0,0,6,7,25,30,53%,17,65,60,43,25,17,0,"1,076",0,0%,37,17,0,,,,,
260,Issa Diop,DEF,Fulham,0,0,0,0,3,0,790,2,0,0,6,7,25,30,53%,17,65,60,43,25,17,0,"1,076",0,0%,37,17,0,,,,,
261,Tyrese Francois,MID,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
262,Anthony Knockaert,MID,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
263,Terence Kongolo,DEF,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
264,Bernd Leno,GKP,Fulham,0,4.06,0,1,5,73,1620,0,0,0,13,17,61,,,,,,,,,0,"1,406",,,176,0,,,,,,134
265,Kevin Mbabu,DEF,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
266,Kevin Mbabu,DEF,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
267,Tim Ream,DEF,Fulham,1,0,0,0,3,0,1143,2,1,1,6,8,29,20,45%,25,79,57,40,26,19,0,"1,058",0,0%,73,8,0,,,,,
268,Harrison Reed,MID,Fulham,0,0,0,0,3,0,786,2,0,0,12,10,,29,62%,11,72,53,75,10,13,2,722,2,21%,21,26,0,9,2,22%,0,
269,Antonee Robinson,DEF,Fulham,0,0,0,2,4,0,1486,4,0,0,12,17,60,93,62%,80,227,192,169,42,27,6,"1,629",6,23%,101,34,0,,,,,
270,Kenny Tete,DEF,Fulham,1,0,0,0,2,0,530,2,0,1,4,7,21,27,63%,16,45,53,40,5,5,0,422,0,30%,15,16,0,,,,,
271,Kenny Tete,DEF,Fulham,1,0,0,0,2,0,530,2,0,1,4,7,21,27,63%,16,45,53,40,5,5,0,422,0,30%,15,16,0,,,,,
